vl,destination,pattern,my_mean_us,my_max_us,paper_sim_avg_us,paper_sim_max_us,paper_bound_us,ratio_mean,ratio_max,within_bound
0x1,E2,sporadic,400.4,620.2,675,797,798,0.59,0.78,yes
0x2,E3,sporadic,409.5,698.1,684,797,798,0.60,0.88,yes
0x3,E3,sporadic,402.0,640.7,676,797,798,0.59,0.80,yes
0x4,E2,sporadic,406.8,700.1,680,797,798,0.60,0.88,yes
0x5,E8,sporadic,434.7,743.6,785,861,861,0.55,0.86,yes
0x6,E8,sporadic,433.6,752.7,786,861,861,0.55,0.87,yes
0x7,E2,sporadic,502.0,713.6,721,998,998,0.70,0.71,yes
0x8,E3,sporadic,503.9,712.9,735,998,998,0.69,0.71,yes
0x9,E4,periodic,237.1,424.6,455,477,477,0.52,0.89,yes
0xA,E5,periodic,237.6,453.3,455,477,477,0.52,0.95,yes
0xB,E12,periodic,469.5,566.2,565,818,819,0.83,0.69,yes
0xC,E13,periodic,469.6,566.1,587,818,819,0.80,0.69,yes
0xD,E13,periodic,1123.5,1369.5,1287,1658,1658,0.87,0.83,yes
0xE,E12,periodic,1123.2,1334.0,1269,1658,1658,0.89,0.80,yes
0x10,E2,sporadic,999.4,1203.8,1238,1448,1449,0.81,0.83,yes
0x11,E3,sporadic,999.6,1219.1,1240,1448,1449,0.81,0.84,yes
0x12,E2,sporadic,999.5,1284.5,1232,1448,1449,0.81,0.89,yes
0x13,E3,sporadic,999.6,1245.8,1235,1448,1449,0.81,0.86,yes
0x14,E2,periodic,573.8,919.3,929,1215,1222,0.62,0.76,yes
0x15,E3,periodic,577.4,931.9,927,1215,1222,0.62,0.77,yes
0x16,E3,periodic,560.0,885.7,918,1215,1222,0.61,0.73,yes
0x17,E2,periodic,579.9,936.0,922,1215,1222,0.63,0.77,yes
0x18,E0,periodic,604.8,900.5,883,1149,1149,0.68,0.78,yes
0x19,E1,periodic,605.6,875.8,908,1149,1149,0.67,0.76,yes
0x20,E0,sporadic,444.7,640.9,661,651,652,0.67,0.98,yes
0x21,E0,sporadic,444.4,596.4,651,651,652,0.68,0.92,yes
0x22,E0,sporadic,444.8,663.3,647,651,652,0.69,1.02,no
0x30,E1,sporadic,444.5,614.4,660,651,652,0.67,0.94,yes
0x31,E1,sporadic,444.7,619.5,649,651,652,0.69,0.95,yes
0x32,E1,sporadic,445.0,663.3,647,651,652,0.69,1.02,no
